Response ID,Are you an existing LiveRamp Employee?,What LiveRamp products do you directly use? (select all that apply) - Connect/Activation,What LiveRamp products do you directly use? (select all that apply) - Connect/Measurement,What LiveRamp products do you directly use? (select all that apply) - Advanced TV,What LiveRamp products do you directly use? (select all that apply) - Safe Haven,What LiveRamp products do you directly use? (select all that apply) - Privacy Manager/ATS,What LiveRamp products do you directly use? (select all that apply) - Data Plus Math,What LiveRamp products do you directly use? (select all that apply) - Data Marketplace,What LiveRamp products do you directly use? (select all that apply) - Onboarding,What LiveRamp products do you directly use? (select all that apply) - Data Collaboration Platform / Clean Room,What LiveRamp products do you directly use? (select all that apply) - Identity Resolution,What LiveRamp products do you directly use? (select all that apply) - None. I don't use LiveRamp products directly,Which one of these options best describes your primary role or responsibilities ? - Selected Choice,Which one of these options best describes your primary role or responsibilities ? - Other. Please specify - Text,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - ChatGPT,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - DALL·E,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - MedLM,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - Midjourney,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - Bard,What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - Other (please specify),What generative AI programs have you used or experimented with?(Please select all that apply) - Selected Choice - None.,What generative AI programs have you used or experimented with?(Please select all that apply) - Other (please specify) - Text,How do you envision LiveRamp incorporating AI to better serve our customers' needs? In what ways could AI at LiveRamp contribute to helping customers reach their goals?,Do you agree or disagree that the risks of AI being used in LiveRamp outweigh the potential benefits?,"As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Finding and evaluating partner tools, services, or data that address your business needs and use cases","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Matching identifiers and resolving identities","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Uploading data to LiveRamp and ensuring successful processing of data","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Building an audience/segment according to certain specifications","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Activating data at end-destination platforms and ensuring data was successfully processed/delivered","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Checking, formatting, and preprocessing data for ingestion, activation, or analysis","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Creating & interpreting SQL queries or Python scripts on data for analysis, measurement, complex segment creation, etc.","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Debugging (i.e. platform errors, code)","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Sharing & managing data with partners for collaboration use cases and analysis","As a LiveRamp employee, think through the core tasks users perform on our platform and sort them into the following categories based on what you would want LiveRamp to provide. - Finding answers in Help Documentation","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Finding and evaluating partner tools, services, or data that address your business needs and use cases","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Matching identifiers and resolving identities","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Uploading data to a third party tool and ensuring successful processing of data","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Building an audience/segment according to certain specifications","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Activating data at end-destination platforms and ensuring data was successfully processed/delivered","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Checking, formatting, and preprocessing data for ingestion, activation, or analysis","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Creating & interpreting SQL queries or Python scripts on data for analysis, measurement, complex segment creation, etc.","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Debugging (i.e. platform errors, code)","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Sharing & managing data with partners for collaboration use cases and analysis","Thinking about the marketing & advertising related tasks you perform (whether using LiveRamp or not), please sort each task into the following categories: - Finding answers in Help Documentation",You indicated that you would NOT like LiveRamp to use AI for some tasks please provide more context.,You indicated that you use AI for some tasks. How satisfied or unsatisfied are you with the current AI solution(s) you have employed?,Why are you unsatisfied with your current AI solution(s)?,"You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Privacy and data security","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Accuracy of AI-driven insights","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Ethical considerations in data usage","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Control and configurability over the AI process","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Transparency in and understanding of how an AI outcome was reached","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - The inability of AI systems to capture human complexity","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - Other (please specify):","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Selected Choice - No Concerns","You indicated that you use AI for some tasks. Before using an existing AI solution, what were your top concerns, if you had any? - Other (please specify): - Text","How did your opinion change, if at all, after you started using the AI solution?",You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Technical resource limitations,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Work prioritization,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Privacy / security concerns,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Ethical concerns in data usage,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Potential inaccuracies of AI,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Lack of configurability / control in AI outcomes,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Lack of transparency / explainability in how an AI decision/outcome is made,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - The inability of AI systems to capture human complexity,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - I don't have an option to use AI at work,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Cost,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Selected Choice - Other. Please explain,You indicated that you would like to use AI but are not doing it currently for some tasks. What are the reasons that you are not using AI? (select all that apply) - Other. Please explain - Text,"You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Finding and evaluating partner tools, services, or data that address your business needs and use cases","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Matching identifiers and resolving identities","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Uploading data to a third party tool and ensuring successful processing of data","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Building an audience/segment according to certain specifications","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Activating data at end-destination platforms and ensuring data was successfully processed/delivered","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Checking, formatting, and preprocessing data for ingestion, activation, or analysis","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Creating & interpreting SQL queries or Python scripts on data for analysis, measurement, complex segment creation, etc.","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Debugging (i.e. platform errors, code)","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Sharing & managing data with partners for collaboration use cases and analysis","You indicated that you would like to use AI but are not using it currently for some tasks, please sort them into the following categories. - Finding answers in Help Documentation",How important is it for you that AI is incorporated into LiveRamp's future products?,"How concerned are you, if at all, about the use of AI in LiveRamp's products?",What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Privacy and data security,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Accuracy of AI-driven insights,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Ethical considerations in data usage ,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Transparency in and understanding of how an AI outcome was reached,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Control and configurability over the AI process,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - The inability of AI systems to capture human complexity,What are your top concerns about the use of AI in LiveRamp's products? - Selected Choice - Other (please specify),What are your top concerns about the use of AI in LiveRamp's products? - Other (please specify) - Text,"Provide more details about your concerns. What, if anything, might alleviate these concerns?",Rank the importance of the following for future LiveRamp AI products. - I want to know how AI features work,Rank the importance of the following for future LiveRamp AI products. - I want to know <strong>how</strong> data is used to power AI,Rank the importance of the following for future LiveRamp AI products. - I want to know how data privacy is maintained,Rank the importance of the following for future LiveRamp AI products. - I want to know <strong>what</strong> data is used to power AI,"How concerned are you, if at all, about potential biases in AI algorithms, particularly in the context of customer segmentation or personalized marketing? 



Biases in AI algorithms are the tendencies of the algorithms to produce results that are unfair, inaccurate, or discriminatory toward certain groups of people.",Do you agree or disagree that the benefits of AI being used in LiveRamp outweigh the potential risks?,How comfortable or uncomfortable are you with the idea of AI providing suggestions within customers' LiveRamp accounts to improve their user experience?,How comfortable or uncomfortable are you with the idea of AI making decisions within customers' LiveRamp accounts to improve their user experience?,"Please share any additional thoughts or suggestions regarding data privacy, fairness, transparency, and ethical considerations in AI-powered products."
R_2DOCRsNhIAPNuo1,2,,,,1,,,,,,,,5,,1,1,,,,,,,I envisage liveramp being able to take my audience data and find trends in order patterns and conversion channels to be able to identify the idea channels for talking to specific users.,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,7,7,7,7,7,7,7,7,7,14,14,,,,,,,,,,4,2,3,1,4,8,13,12,I think all basic tasks that can be sped up with AI should be to give people more time to make the critical decisions. AI recommendations are already a part of most platforms so it only makes sense LiveRamp begins this journey.
R_1roWjmvL2ZeH4vZ,2,,,,1,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,7,7,5,7,7,7,,5,12,13,,,,,,,,,,4,3,1,2,4,6,12,10,
R_1gin6fsy7L0BpD0,2,,,,1,,,,,,,,10,,1,,,,,,,,"Better Job Management, and model versioning. ",,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,1,,1,,1,,,,,,,,8,8,8,8,8,8,8,8,8,8,12,11,1,1,,,,,,,Data security and private relay for PII data,3,4,1,2,5,6,11,11,
R_21pQK5Od5CQ6CSc,2,1,1,,1,,,,1,1,1,,16,Partnerships,1,,,,,,,,"Leveraging generative AI for predictive audiences and predictive audience insights would be useful to a range of clients and agency planners to help give recommendations on audiences to leverage for activation. From a measurement perspective could envision leveraging AI to assist with analysis of measurement activities, path to conversion automatic analysis, measurement uplift insights for post analysis etc. Removing mundane tasks could really assist and free up time for deeper level strategy and activation approaches. Another use case and area could be leveraging generative AI for assistance with SQL queries, auto-completion of queries, assistance and guidance with writing queries for data analysis. But hey that's just a few product ideas :)",,,,,,,,,,,,2,3,2,2,2,1,2,2,1,1,,12,,1,1,1,1,1,,,,,"We have an AI committee dedicated to reviewing use cases and reviewing outputs to ensure meets ethical guidelines, that doesn't infringe upon IP and is ultimately used in an ethical and responsible manner, still early days to properly assess tools but our strong partnerships with AI-focused companies is helping to drive that continued focus of ethical use of AI in our practices but admittedly is still in a Beta phase.",,,,1,1,,,,,,1,"It's under review and continuous testing and reviewing by our global AI taskforce, in some Beta capacities we've launched AI to assist with various tasks and will likely continue to test and review processes and use cases into 2024 and beyond but until we are confident that it can be accurately and confidently utilise it in an ethical and responsible manner it''ll continue to be reviewed. Also there are of course cost considerations to take into account with agency users running a lot of queries it could have capacity limitations with some AI LLMs APIs etc",8,,7,8,5,,7,7,,,15,12,1,1,1,1,,,,,"Having transparency into how the AI is making decisions could help, possibly serving up templatized use cases and audiences that the AI has found to work so that can have confidence in its recommendations, transparency around confidence scores to showcase levels of accuracy and insight into the AI driven insights.",4,2,1,3,5,7,13,12,"Overall, I'm a strong advocate for use of AI in products provided their is trust and transparency layers at each step and that these can be articulated. For example, clients want to have confidence that their data won't be utilized to inform an LLM for other clients, that it is compartmentalized from other LLMs and client data / understanding isn't supported from a client's own use of the model. Data partnerships however and working obviously in a collaborative way is integral to the continuing function of the open internet, but it must be done in a compartmentalized manner where, the leveraging of AI insights should in my view, only be utilized for the client initiating the collaboration and not necessarily for both clients, unless there's a level of transparency in how this works for example client A gets audience insights generated from AI and client B might get AI recommendations on measurement / output."
R_wQTxmNjPg6z03ap,2,,,,1,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,2,2,5,2,2,2,5,2,1,2,,,,,,,,,,,,,,1,,1,,,,,,1,,,,7,5,,7,5,5,,5,,5,13,15,,,,,,,,,,3,4,2,1,4,7,12,12,
R_ulA9zmqNjg3DoNb,2,,,,1,,,,,,,,9,,,,,,,,1,,By focusing on genrative AI alogorithms.,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,7,7,7,5,5,5,5,,,5,15,12,1,,1,,,,,,,3,2,1,4,1,7,13,12,AI takes the business to new heights but the only concern is security and safety. If we get some platform which is highly configurable means whatever we want to do manually we will do and whatever we want to give to AI only that AI will take then it would be best
R_3HOeFl3uMvCkDGE,2,,,,1,,,,,1,,,9,,1,,,,,,,,Helping data engineers optomize query in bigquery to enable faster running jobs,,5,6,5,6,7,7,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,1,,,1,,,,,NA. the one's listed below covers everything. ,2,1,3,4,3,7,12,10,NA
R_ANYVugyDei77KjT,2,,,,1,,,,,,,,9,,,,1,,,,,,"Liveramp incorporating AI can help to deliver the proactive,personalized service that customers want,when and how they want - sometimes even before they know they want it. AI enabled customer service can increase customer engagement,resulting in increased cross-sell and upsell oppurunities while reducing cost to serve. ",,6,7,5,5,7,5,7,6,8,7,,,,,,,,,,,"Inspite of using AI, delivering data should not completely depend on AI, we should atleast comfirm ourselves rather than depending on AI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,2,1,4,3,1,8,13,13,
R_2S93q7YhcUmjUPR,2,,,,1,,,1,,,,,14,,1,,,,,,,,"LiveRamp could leverage AI to facilitate seamless integration across marketing channels, enabling customers to create multi channel campaigns. This use of AI can optimize messaging and delivery for each specific channel and produce a consistent and impactful brand presence. 
Another way in which LiveRamp can use AI is for generating automated actionable insights and performance reports. Building user- friends dashboards that highlight key trends, metrics, and recommendations can accelerate the decision making process for customers.",,6,5,7,5,7,6,7,6,8,5,,,,,,,,,,,"Yes, for tasks that require human intervention and a thorough follow up of data sources, AI would not be helpful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,,,,,,,,,,3,4,1,2,3,8,13,13,Ensuring that users are well-informed and have given explicit consent for the use of their is fundamental. AI- powered products should prioritize transparent communication.
R_25vm6XTL0pmNVli,2,,,,1,,,,,,,,5,,1,,,,,,,,To enhance thé use of the LiveRamp products (ex : ask AI a business question and get as a result the analysis of the performance or the creation of audiences. It could help in the execution to save time for analysis. ,,,,,,,,,,,,2,2,1,2,1,2,5,1,1,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,7,7,,8,,5,,,,8,14,12,1,1,,,1,,,,,4,3,1,2,5,6,13,12,
R_D2Eewa8hExiq96V,2,,,,1,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,7,7,5,7,8,7,7,8,7,11,15,,,,,,,,,,4,2,1,3,2,6,11,11,
R_3JCRTsY5a2V1R5Y,2,,,,1,,,,,,,,9,,1,1,,,,,,,I would suspect they could use it to provide some form of virtual assistant to help in troubleshooting ,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,7,7,7,,7,7,7,7,7,7,13,13,,,,,,,,,,4,3,1,2,3,6,12,9,
R_3pmAyLsFVh1jrey,2,,,,1,,,,,,,,16,Revenue Management,1,,,1,,,,,"having AI to apply filters, create visualization or giving information on how to interpret numbers would help a lot",,,,,,,,,,,,2,2,2,2,2,2,5,2,1,2,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,7,7,7,5,7,7,,7,,5,15,14,,,,,,,,,,1,4,3,2,1,8,10,9,.
R_2UilXYEQg8VllVF,2,,,,1,,,,,1,,,1,,1,1,,,,,,,To help data understantment and animation,,,,,,,,,,,,3,2,2,2,2,3,3,3,3,3,,12,,,1,,,1,,,,,,1,1,,,,,,1,,,,,,8,5,7,7,,,,,,15,11,,1,1,1,,1,,,,4,2,1,3,5,8,12,12,
R_79fJqtJnGoiLExX,2,,,,1,,,,,,,,10,,1,,,,,,,,Building of predictive models; retargeting in a cookieless environment; display products and/or services related to the center of interest without getting these info directly from the customers,,,,,,,,,,,,2,1,5,2,2,2,2,5,5,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,8,,,7,5,8,8,,,7,13,13,,,,,,,,,,4,2,1,3,4,6,11,11,
R_2pQCV13Qx3Bxatv,2,,,,1,1,,,,,,,1,,1,1,,1,,,,,I would like to see segmentation based on textual information rather than having to figure out user combinations myself.,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,3,,12,,,1,,,1,1,,,,,1,,1,,1,1,1,1,,,,,7,5,5,7,5,5,5,5,5,,14,14,,,,,,,,,,3,2,4,1,4,7,12,12,I think it is important for AI to suppress hallucination. I would like to use APIs and papers to realize highly accurate AI.
R_2akvxH15vcsfidg,2,1,,,1,,1,,1,1,1,,10,,1,1,,1,,,,,Help to code,,,,,,,,,,,,2,2,2,2,1,3,3,3,2,2,,10,,1,,,1,,,,,,,1,1,1,,,,,,,,,,7,8,7,7,,,,,7,7,14,12,1,1,,,,,,,,4,2,1,3,4,7,12,12,
R_1ERQLF5gqT0timJ,2,,,,1,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,2,5,5,2,2,5,5,5,2,5,,,,,,,,,,,,,,1,,1,,,,1,,,,,,7,,,8,7,,,,8,,15,15,,,,,,,,,,4,1,2,3,2,6,9,11,
R_3PId39hf5hj0oy9,2,,,,,,,1,,1,,,5,,1,1,,,,,,,AI attribution models and live similar audiences that are improving continuously,,,,,,,,,,,,2,2,2,2,2,2,5,2,3,3,,10,don't accurate always,,1,1,,,,,,,,1,1,,,,,,,,,,,7,7,7,7,7,7,,8,,,15,13,,,,,,,,,,1,2,3,4,4,7,12,12,The AI revolution is crucial for all companies
R_82msvdmUJUmX66J,2,,,,1,,,,,,,,8,,,,,,,,1,,,,,,,,,,,,,,5,2,5,2,5,5,5,5,5,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,5,,,,,,5,13,14,,,,,,,,,,1,2,3,4,3,7,12,12,
R_2YbVgSHXeG2SOuF,2,1,1,,,,,,,,,,8,,,,,,,,1,,"In my opinion, AI saves time when it comes to verifying information and making recommendations. ",,,,,,,,,,,,5,1,1,2,2,2,1,2,2,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,7,7,7,,8,7,,14,14,,,,,,,,,,3,1,4,2,3,5,12,12,
